Estado,Correlacion
AGS,0.1002589465698489
BC,0.06716978136367902
BCS,0.1429993477334953
CAMP,0.06593490012145972
CDMX,0.38868149945090635
CHIH,0.24749395884814024
CHIS,-0.06622787310353234
COAH,0.06020381622528181
COL,-0.09105121053664329
DGO,0.2563634903755917
GRO,0.009226439586591096
GTO,0.14434217643021127
HGO,0.2377064398932764
JAL,-0.1623203879916365
MEX,0.3192180185112861
MICH,0.11025682904697273
MOR,0.07489000181526799
N,
NAY,0.16998260713180843
NL,-0.04695549953670401
OAX,0.1801732719191412
PUE,0.28324557639383313
QR,0.0747251254881157
QRO,0.40562088881316694
SIN,0.13472826876470034
SLP,0.2828356322986989
SON,0.11374212895351603
TAB,0.1820832531404231
TAMS,0.22667005639257307
TLAX,0.13847694895476007
VER,0.08577387588404278
YUC,-0.0906242694467562
ZAC,0.4635048910692238
